generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
10920,12372,2316,0,0,152803,36181,0,0,448594,89996,0,0,32885,5662,0,0,5502,1056,0,0,47469,10791,0,0,0.2312,0.2179,0.1910,0.0840,0.0594,0.0435,0.0425,0.0010,0.0001,0.0001,0.0000,0.0007,0.0005,0.0018,0.0008,0.0000,0.0004,0.0000,0.0003,0.0002,0.0013,0.0005
10930,12164,3018,0,0,140967,57689,0,0,399034,123431,0,0,22295,5150,0,0,6327,2159,0,0,37329,14573,0,0,0.2423,0.2097,0.1854,0.0806,0.0532,0.0387,0.0044,0.0057,0.0010,0.0001,0.0022,0.0046,0.0019,0.0073,0.0008,0.0001,0.0018,0.0002,0.0013,0.0032,0.0061,0.0004
10940,11297,3905,0,0,147806,59583,0,0,391311,125580,0,0,22103,6089,0,0,2675,775,0,0,41724,16697,0,0,0.2498,0.2086,0.1899,0.0694,0.0683,0.0454,0.0006,0.0006,0.0001,0.0012,0.0007,0.0005,0.0013,0.0034,0.0026,0.0000,0.0005,0.0002,0.0012,0.0001,0.0033,0.0025
10950,17215,4790,0,0,140931,41912,0,0,442469,121253,0,0,25950,7003,0,0,4932,1167,0,0,35472,9914,0,0,0.2511,0.2134,0.1921,0.0854,0.0735,0.0473,0.0013,0.0001,0.0000,0.0000,0.0005,0.0000,0.0001,0.0002,0.0011,0.0001,0.0000,0.0004,0.0000,0.0003,0.0000,0.0006
10960,16814,5107,0,0,174346,52536,0,0,408404,123229,0,0,24609,6900,0,0,6490,2356,0,0,35718,10049,0,0,0.2560,0.2098,0.1904,0.0733,0.0668,0.0419,0.0007,0.0000,0.0000,0.0001,0.0007,0.0001,0.0000,0.0001,0.0008,0.0001,0.0001,0.0008,0.0001,0.0015,0.0000,0.0015
10970,19005,5807,0,0,158324,47208,0,0,423638,119335,0,0,26319,6709,0,0,4759,1247,0,0,35062,10790,0,0,0.2473,0.2125,0.1890,0.0871,0.0574,0.0408,0.0005,0.0000,0.0001,0.0007,0.0005,0.0000,0.0001,0.0005,0.0004,0.0000,0.0002,0.0001,0.0002,0.0000,0.0008,0.0006
10980,12675,9331,0,0,78897,94143,0,0,326524,230093,0,0,17896,10919,0,0,4907,4158,0,0,27545,32132,0,0,0.2476,0.2210,0.1976,0.0851,0.0640,0.0501,0.0334,0.0072,0.0001,0.0011,0.0006,0.0066,0.0086,0.0138,0.0036,0.0000,0.0006,0.0010,0.0079,0.0033,0.0129,0.0032
10990,15191,4672,0,0,120731,54899,0,0,394079,133007,0,0,29091,8083,0,0,4124,1242,0,0,40778,16342,0,0,0.2565,0.2151,0.1931,0.0990,0.0695,0.0417,0.0234,0.0038,0.0002,0.0002,0.0000,0.0017,0.0022,0.0058,0.0042,0.0004,0.0008,0.0003,0.0007,0.0001,0.0031,0.0019
11000,14938,4032,0,0,115656,33998,0,0,467096,148734,0,0,28770,8835,0,0,6525,1950,0,0,38132,10771,0,0,0.2506,0.2182,0.1921,0.0898,0.0853,0.0509,0.0014,0.0002,0.0006,0.0004,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0003,0.0000,0.0002,0.0001
11010,6648,3853,0,0,89581,75923,0,0,353439,213625,0,0,22821,10980,0,0,4132,2296,0,0,31768,26338,0,0,0.2539,0.2209,0.1933,0.0982,0.0826,0.0458,0.0169,0.0044,0.0001,0.0010,0.0001,0.0039,0.0035,0.0094,0.0053,0.0000,0.0015,0.0002,0.0030,0.0006,0.0087,0.0048
11020,11150,3945,0,0,95836,47610,0,0,416183,166861,0,0,27125,10010,0,0,5837,2914,0,0,39859,18073,0,0,0.2600,0.2212,0.1983,0.0965,0.0798,0.0407,0.0054,0.0030,0.0004,0.0000,0.0031,0.0016,0.0012,0.0023,0.0000,0.0002,0.0002,0.0013,0.0004,0.0024,0.0011,0.0003
11030,11021,1224,0,0,147412,26983,0,0,502585,72692,0,0,25169,3324,0,0,6763,1331,0,0,54013,9146,0,0,0.2583,0.2201,0.1967,0.0913,0.0845,0.0423,0.0205,0.0034,0.0009,0.0004,0.0046,0.0024,0.0008,0.0015,0.0001,0.0001,0.0001,0.0015,0.0004,0.0024,0.0009,0.0004
11040,7003,3385,0,0,119983,65016,1,0,365475,169565,0,0,22209,8128,0,0,5802,2677,0,0,40262,22155,0,0,0.2579,0.2153,0.1947,0.0914,0.0853,0.0420,0.0263,0.0004,0.0000,0.0020,0.0001,0.0005,0.0007,0.0041,0.0007,0.0000,0.0015,0.0000,0.0008,0.0014,0.0044,0.0009
11050,8859,1573,0,0,152361,27175,0,0,479753,80892,0,0,21481,3551,0,0,9989,1304,0,0,62021,10157,0,0,0.2551,0.2208,0.2042,0.0892,0.0584,0.0433,0.0241,0.0000,0.0000,0.0001,0.0014,0.0001,0.0000,0.0001,0.0014,0.0001,0.0000,0.0009,0.0000,0.0008,0.0000,0.0007
11060,7045,2732,0,0,108310,48961,0,0,412322,162053,0,0,27976,10395,0,0,7688,3251,0,0,44951,22001,0,0,0.2447,0.2193,0.2018,0.0870,0.0910,0.0484,0.0182,0.0006,0.0000,0.0000,0.0002,0.0014,0.0005,0.0010,0.0001,0.0002,0.0001,0.0001,0.0013,0.0004,0.0020,0.0006
