generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
52480,1544.4,3250.0,818564,0.4991,0.0016,0.3410,0.2652,0.1285,0.0000,2.2647,0.7421,-0.1550,0.0000,0.0000,8.6,6,11,4.7,2,13,900,1.6751,479,0.1079
52490,1645.3,3350.0,800694,0.5140,0.0013,0.3316,0.2621,0.1491,0.0000,2.3592,0.7010,-0.1630,0.0000,0.0000,8.6,6,11,4.7,2,13,967,1.6814,449,0.1017
52500,1711.2,3400.0,826460,0.5514,0.0008,0.3315,0.2572,0.1988,0.0000,2.3959,0.7092,-0.0810,0.0000,0.0000,8.7,7,11,5.2,2,12,941,1.6960,341,0.1018
52510,1654.6,3800.0,823195,0.4759,0.0010,0.3298,0.2445,0.1569,0.0000,2.3449,0.7468,-0.1419,0.0000,0.0000,8.7,6,11,5.0,2,13,879,1.6924,326,0.1040
52520,1806.4,3450.0,839947,0.5494,0.0008,0.3286,0.2502,0.2940,0.0000,2.2513,0.6605,-0.1430,0.0000,0.0000,8.7,6,11,5.3,2,13,958,1.7044,493,0.1100
52530,1449.0,3300.0,790878,0.4156,0.0021,0.3329,0.2705,0.0261,0.0000,2.4795,0.6928,-0.2265,0.0000,0.0000,8.6,5,12,4.7,2,13,876,1.6583,665,0.1163
52540,1338.9,2900.0,817442,0.4950,0.0011,0.3638,0.2969,0.0847,0.0000,2.3718,0.6942,-0.1143,0.0000,0.0000,8.5,6,10,4.8,2,13,860,1.6666,589,0.1215
52550,1812.4,3600.0,836140,0.5068,0.0008,0.3205,0.2474,0.2093,0.0381,2.3589,0.7488,-0.1445,0.0000,0.0000,8.6,6,11,4.4,2,13,948,1.6369,464,0.1126
52560,1839.2,3650.0,849305,0.5677,0.0007,0.3270,0.2486,0.1458,0.0000,2.2065,0.7398,-0.1513,0.0000,0.0000,8.7,6,11,4.6,2,14,854,1.6298,347,0.1140
52570,1713.9,3450.0,835562,0.4507,0.0012,0.3349,0.2501,0.1086,0.0371,1.6123,0.7523,-0.1807,0.0000,0.0000,8.7,7,11,4.8,2,15,876,1.6349,399,0.1034
52580,1566.2,3300.0,825951,0.3711,0.0017,0.3341,0.2547,0.0088,0.0547,1.6094,0.7405,-0.1711,0.0000,0.0000,8.6,6,11,4.7,2,14,818,1.6232,646,0.1093
52590,1654.9,3450.0,808420,0.4751,0.0011,0.3340,0.2659,0.0834,0.0319,1.5542,0.7664,-0.1975,0.0000,0.0000,8.5,6,12,4.8,2,14,952,1.6269,348,0.1044
52600,1661.5,3700.0,809476,0.4820,0.0009,0.3271,0.2632,0.0471,0.0000,1.6253,0.7477,-0.1771,0.0000,0.0000,8.5,6,11,4.5,2,15,912,1.6099,448,0.1047
52610,1656.9,3550.0,819526,0.4908,0.0009,0.3237,0.2482,0.0380,0.0000,1.7335,0.6896,-0.1884,0.0000,0.0000,8.6,6,11,4.7,2,15,920,1.6176,343,0.1057
