generation,mi_pred_dx,mi_pred_dy,mi_pred_dist,mi_food_dx,mi_food_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_energy
58,0.0006,0.0007,0.0004,0.0344,0.0452,0.0051,0.0994,0.0606,0.0603,0.0000,0.0134,0.1184,0.0157,0.0027,0.0048,0.0148
59,0.0012,0.0006,0.0009,0.0129,0.0051,0.0126,0.0090,0.0037,0.0076,0.0000,0.0180,0.0241,0.0238,0.0138,0.0056,0.0065
60,0.0040,0.0024,0.0051,0.0148,0.0428,0.0311,0.0727,0.0414,0.0312,0.0000,0.0527,0.0461,0.0462,0.0119,0.0331,0.0080
61,0.0002,0.0054,0.0044,0.0412,0.0270,0.0208,0.0854,0.0677,0.0216,0.0000,0.1136,0.0525,0.0449,0.0235,0.0111,0.0071
62,0.0023,0.0003,0.0005,0.0302,0.0107,0.0150,0.0513,0.0379,0.0136,0.0000,0.0623,0.0609,0.1352,0.0587,0.0661,0.0088
63,0.0014,0.0064,0.0007,0.0225,0.0318,0.0301,0.0638,0.0152,0.0626,0.1436,0.0453,0.0442,0.2722,0.0640,0.1190,0.0163
64,0.0000,0.0084,0.0003,0.0933,0.0843,0.0234,0.1682,0.0953,0.0816,0.2062,0.0247,0.1548,0.1391,0.0393,0.0625,0.0021
65,0.0055,0.0006,0.0014,0.0239,0.0053,0.0093,0.1100,0.0338,0.0787,0.0000,0.0586,0.0549,0.0395,0.0355,0.0116,0.0100
66,0.0004,0.0004,0.0010,0.0300,0.0248,0.0067,0.0608,0.0804,0.0378,0.0000,0.0440,0.0050,0.0013,0.0010,0.0024,0.0082
67,0.0024,0.0018,0.0035,0.0066,0.0093,0.0076,0.0539,0.0333,0.0443,0.0000,0.0035,0.0040,0.0241,0.0015,0.0017,0.0040
68,0.0027,0.0118,0.0053,0.0179,0.0226,0.0285,0.1118,0.0654,0.0616,0.0000,0.0212,0.0396,0.0419,0.0062,0.0013,0.0148
69,0.0012,0.0003,0.0004,0.0196,0.0341,0.0458,0.2170,0.1533,0.1507,0.0000,0.1083,0.1339,0.0498,0.0075,0.0033,0.0218
70,0.0216,0.0153,0.0252,0.0241,0.0094,0.0126,0.0410,0.0604,0.0649,0.0000,0.0967,0.0683,0.0146,0.0011,0.0001,0.0117
71,0.0092,0.0091,0.0181,0.0092,0.0128,0.0173,0.0500,0.0590,0.0221,0.0000,0.0441,0.0081,0.0000,0.0000,0.0000,0.0101
72,0.0016,0.0092,0.0075,0.0315,0.0145,0.0201,0.0577,0.0425,0.0307,0.0000,0.0392,0.0637,0.0027,0.0004,0.0002,0.0094
73,0.0048,0.0035,0.0158,0.0293,0.0340,0.0085,0.0190,0.0269,0.0187,0.0000,0.0176,0.0073,0.0108,0.0052,0.0017,0.0258
74,0.0102,0.0036,0.0132,0.0088,0.0088,0.0011,0.1224,0.0458,0.0229,0.0000,0.0044,0.0135,0.0052,0.0001,0.0067,0.0067
75,0.0025,0.0004,0.0017,0.0175,0.0120,0.0085,0.1141,0.0658,0.1547,0.1151,0.0157,0.1223,0.0000,0.0000,0.0000,0.0029
76,0.0019,0.0017,0.0038,0.0165,0.0232,0.0076,0.1471,0.0600,0.1032,0.1545,0.0248,0.0640,0.0000,0.0000,0.0000,0.0063
77,0.0100,0.0047,0.0138,0.0165,0.0313,0.0063,0.0426,0.0812,0.0687,0.1229,0.0631,0.1062,0.0000,0.0000,0.0000,0.0007
78,0.0029,0.0004,0.0006,0.0563,0.0332,0.0457,0.0091,0.0532,0.0235,0.1817,0.0625,0.0081,0.0000,0.0000,0.0000,0.0022
79,0.0001,0.0001,0.0001,0.0258,0.0295,0.0017,0.0964,0.0294,0.0817,0.1962,0.0568,0.1097,0.0000,0.0000,0.0000,0.0017
80,0.0035,0.0059,0.0052,0.0035,0.0010,0.0080,0.1862,0.0524,0.0461,0.2238,0.1017,0.0823,0.0000,0.0000,0.0000,0.0030
81,0.0005,0.0007,0.0015,0.0236,0.0422,0.0057,0.1057,0.0507,0.0530,0.1399,0.0304,0.0182,0.0000,0.0000,0.0000,0.0027
82,0.0016,0.0025,0.0028,0.0102,0.0115,0.0188,0.2422,0.0770,0.0611,0.1448,0.0342,0.0746,0.1403,0.1067,0.0816,0.0229
83,0.0132,0.0130,0.0274,0.0192,0.0170,0.0263,0.0868,0.0700,0.0355,0.1821,0.0197,0.0796,0.0214,0.0105,0.0061,0.0175
84,0.0140,0.0063,0.0072,0.0371,0.0263,0.0154,0.0419,0.0248,0.0288,0.1695,0.0198,0.0990,0.0759,0.0180,0.0339,0.0432
85,0.0332,0.0426,0.0636,0.0675,0.0471,0.0275,0.0838,0.0489,0.1228,0.0000,0.0457,0.0315,0.0168,0.0034,0.0011,0.0180
86,0.0110,0.0067,0.0232,0.0264,0.0172,0.0524,0.0973,0.1197,0.1924,0.2045,0.0237,0.0746,0.0302,0.0119,0.0027,0.0223
87,0.0143,0.0140,0.0136,0.0448,0.0297,0.0053,0.1043,0.0364,0.0659,0.1351,0.0218,0.0655,0.0211,0.0042,0.0021,0.0180
88,0.0128,0.0036,0.0025,0.0237,0.0145,0.0164,0.0292,0.0260,0.1206,0.1647,0.0444,0.0415,0.0000,0.0000,0.0000,0.0096
89,0.0093,0.0113,0.0079,0.0229,0.0672,0.0126,0.0920,0.0426,0.0605,0.2177,0.0385,0.0564,0.0000,0.0000,0.0000,0.0050
90,0.0169,0.0114,0.0117,0.0155,0.0773,0.0135,0.0408,0.0835,0.0925,0.3029,0.0205,0.0675,0.0217,0.0108,0.0045,0.0169
